00,"Line break";
01,"Start on Blank Line";
!02,"Signal end of block or string";
03,"Wait with prompt, brief pause in battle";
04 XX XX,"Toggle flag $XXXX on";
05 XX XX,"Toggle flag $XXXX off";
06 XX XX YY YY YY YY,"If flag $XXXX is set, jump to address $YYYYYYYY";
07 XX XX,"Set binary flag with the status of flag $XXXX";
08 XX XX XX XX,"Parse text at $XXXXXXXX and continue here";
*09,"Multiple-entry pointer table (Jump to address)";
!0A XX XX XX XX,"Jump to text at address $XXXXXXXX";
0B XX,"Set binary flag to true if number in memory == $XX";
0C XX,"Set binary flag to true if number in memory != $XX";
0D XX,"Copy from memory $XX into argumentative memory";
0E XX,"Input $XX into a memory bank";
0F,"Secondary memory +1";
10 XX,"Pause for ~0.02 sec. * $XX";
11,"Treats text displayed by [1C (07|0C) XX] as a menu";
12,"Clear current line of text";
13,"Wait without prompt";
14,"Wait with prompt in battle";
18 00,"Closes most recently used text window";
18 01 XX,"Open window";
18 02,"UNKNOWN";
18 03 XX,"Change parsing focus to window $XX";
18 04,"Close all windows";
18 05 XX YY,"Display text $XX pixels over and $YY lines down";
18 06,"Clear contents from current window";
18 07 XX XX XX XX YY,"Check for $XX inequality to memory";
18 08 XX,"UNKNOWN";
18 09 XX,"UNKNOWN";
18 0A,"Open wallet window and display current cash on hand";
18 0D XX YY,"Display Status window for Char$XX YY-01-parameter, 01,02 specific, 02 ?";
19 02,"Load a text string into memory (end with [02])"
19 04,"UNKNOWN";
19 05 XX YY ZZ,"Inflict ailment YY YY on character $XX";
19 10 XX,"Return the character number of the person in party position $XX"
19 11 XX,"Return One Letter from a Character's Name (see lexicon.txt)";
19 14,"UNKNOWN";
19 16 XX YY,"Return Byte YY of Character XX Status";
19 18 XX,"UNKNOWN";
19 19 XX YY,"Sets $YY(01-0e) in item menu of Char$XX into working memory";
19 1A XX,"UNKNOWN";
19 1B XX,"UNKNOWN";
19 1C XX YY,"UNKNOWN";
19 1D XX YY,"UNKNOWN";
19 1E,"UNKNOWN";
19 1F,"UNKNOWN";
19 20,"UNKNOWN";
19 21 XX,"UNKNOWN";
19 22 XX XX YY YY,"Store to memory the direction from character $XX to object $YY";
19 23 XX XX YY YY ZZ,"Store to memory the direction from TPT entry $XX to object $YY (ZZ unknown)";
19 24 XX XX YY YY ZZ,"Store to memory the direction from generated sprite $XX to object $YY (ZZ=00)";
19 25 XX,"UNKNOWN";
19 26 XX,"UNKNOWN";
19 27 XX,"UNKNOWN";
19 28 XX,"UNKNOWN";
1A 00,"UNKNOWN INCOMPLETE";
1A 01 WW WW WW WW XX XX XX XX YY YY YY YY ZZ ZZ ZZ ZZ,"Current Party Member Selection Menu";
1A 04,"UNKNOWN INCOMPLETE";
1A 05 XX YY,"Display the inventory of character YY in window XX";
